Year,Film,Nominee,Winner
1978,An Unmarried Woman,Paul Mazursky,FALSE
1979,Breaking Away,Steve Tesich‡,TRUE
1979,All That Jazz,Robert Alan Aurthur & Bob Fosse,FALSE
1979,...And Justice for All.,Valerie Curtin & Barry Levinson,FALSE
1979,The China Syndrome,"James Bridges, T. S. Cook & Mike Gray",FALSE
1979,Manhattan,Woody Allen & Marshall Brickman,FALSE
1980,Melvin and Howard,Bo Goldman‡,TRUE
1980,Brubaker,Screenplay: W. D. Richter; Story: Richter & Arthur A. Ross,FALSE
1980,Fame,Christopher Gore,FALSE
1980,Mon oncle d'Amérique,Jean Gruault,FALSE
1980,Private Benjamin,"Nancy Meyers, Harvey Miller & Charles Shyer",FALSE
1981,Chariots of Fire,Colin Welland‡,TRUE
1981,Absence of Malice,Kurt Luedtke,FALSE
1981,Arthur,Steve Gordon,FALSE
1981,Atlantic City,John Guare,FALSE
1981,Reds,Trevor Griffiths & Warren Beatty,FALSE
1982,Gandhi,John Briley‡,TRUE
1982,Diner,Barry Levinson,FALSE
1982,E.T. the Extra-Terrestrial,Melissa Mathison,FALSE
1982,An Officer and a Gentleman,Douglas Day Stewart,FALSE
1982,Tootsie,Screenplay: Larry Gelbart & Murray Schisgal; Story: Gelbart & Don McGuire,FALSE
1983,Tender Mercies,Horton Foote‡,TRUE
1983,The Big Chill,Barbara Benedek & Lawrence Kasdan,FALSE
1983,Fanny and Alexander,Ingmar Bergman,FALSE
1983,Silkwood,Alice Arlen & Nora Ephron,FALSE
1983,WarGames,Lawrence Lasker & Walter Parkes,FALSE
1984,Places in the Heart,Robert Benton‡,TRUE
1984,Beverly Hills Cop,Screenplay: Daniel Petrie Jr.; Story: Danilo Bach & Petrie,FALSE
1984,Broadway Danny Rose,Woody Allen,FALSE
1984,El Norte,Gregory Nava & Anna Thomas,FALSE
1984,Splash,"Screenplay: Bruce Jay Friedman, Lowell Ganz & Babaloo Mandel; Story: Friedman & Brian Grazer",FALSE
