Year,Film,Nominee,Winner,id
2023,All of Us Strangers,Andrew Haigh,FALSE,bafta-basp.csv
2023,Oppenheimer,Christopher Nolan,FALSE,bafta-basp.csv
2023,Poor Things,Tony McNamara,FALSE,bafta-basp.csv
2023,The Zone of Interest,Jonathan Glazer,FALSE,bafta-basp.csv
2024,Conclave,Peter Straughan,TRUE,bafta-basp.csv
2024,A Complete Unknown,James Mangold and Jay Cocks,FALSE,bafta-basp.csv
2024,Emilia Pérez,Jacques Audiard,FALSE,bafta-basp.csv
2024,Nickel Boys,RaMell Ross and Joslyn Barnes,FALSE,bafta-basp.csv
2024,Sing Sing,"Clint Bentley, Greg Kwedar, Clarence 'Divine Eye' Maclin, and John 'Divine G' Whitfield",FALSE,bafta-basp.csv
1983,The King of Comedy,Paul D. Zimmerman,TRUE,bafta-bosp.csv
1983,Local Hero,Bill Forsyth,FALSE,bafta-bosp.csv
1983,Trading Places,Timothy Harris and Herschel Weingrod,FALSE,bafta-bosp.csv
1983,Zelig,Woody Allen,FALSE,bafta-bosp.csv
1984,Broadway Danny Rose,Woody Allen,TRUE,bafta-bosp.csv
1984,The Big Chill,Barbara Benedek and Lawrence Kasdan,FALSE,bafta-bosp.csv
1984,Comfort and Joy,Bill Forsyth,FALSE,bafta-bosp.csv
1984,A Private Function,Alan Bennett,FALSE,bafta-bosp.csv
1985,The Purple Rose of Cairo,Woody Allen,TRUE,bafta-bosp.csv
1985,Back to the Future,Robert Zemeckis and Bob Gale,FALSE,bafta-bosp.csv
1985,My Beautiful Laundrette,Hanif Kureishi,FALSE,bafta-bosp.csv
1985,Witness,William Kelley and Earl W. Wallace,FALSE,bafta-bosp.csv
1986,Hannah and Her Sisters,Woody Allen,TRUE,bafta-bosp.csv
1986,Crocodile Dundee,"John Cornell, Paul Hogan and Ken Shadie",FALSE,bafta-bosp.csv
1986,The Mission,Robert Bolt,FALSE,bafta-bosp.csv
1986,Mona Lisa,Neil Jordan and David Leland,FALSE,bafta-bosp.csv
1987,Wish You Were Here,David Leland,TRUE,bafta-bosp.csv
1987,Hope and Glory,John Boorman,FALSE,bafta-bosp.csv
1987,Personal Services,David Leland,FALSE,bafta-bosp.csv
1987,Radio Days,Woody Allen,FALSE,bafta-bosp.csv
1988,A World Apart,Shawn Slovo,TRUE,bafta-bosp.csv
1988,Au revoir les enfants,Louis Malle,FALSE,bafta-bosp.csv
1988,A Fish Called Wanda,John Cleese,FALSE,bafta-bosp.csv
1988,Moonstruck,John Patrick Shanley,FALSE,bafta-bosp.csv
1989,When Harry Met Sally...,Nora Ephron,TRUE,bafta-bosp.csv
1989,Dead Poets Society,Tom Schulman,FALSE,bafta-bosp.csv
1989,Rain Man,Ronald Bass and Barry Morrow,FALSE,bafta-bosp.csv
1989,"Sex, Lies, and Videotape",Steven Soderbergh,FALSE,bafta-bosp.csv
1990,Cinema Paradiso,Giuseppe Tornatore,TRUE,bafta-bosp.csv
1990,Crimes and Misdemeanors,Woody Allen,FALSE,bafta-bosp.csv
1990,Ghost,Bruce Joel Rubin,FALSE,bafta-bosp.csv
1990,Pretty Woman,J. F. Lawton,FALSE,bafta-bosp.csv
1991,"Truly, Madly, Deeply",Anthony Minghella,TRUE,bafta-bosp.csv
1991,The Fisher King,Richard LaGravenese,FALSE,bafta-bosp.csv
1991,Green Card,Peter Weir,FALSE,bafta-bosp.csv
1991,Thelma & Louise,Callie Khouri,FALSE,bafta-bosp.csv
1992,Husbands and Wives,Woody Allen,TRUE,bafta-bosp.csv
1992,The Crying Game,Neil Jordan,FALSE,bafta-bosp.csv
1992,Hear My Song,Peter Chelsom and Adrian Dunbar,FALSE,bafta-bosp.csv
1992,Unforgiven,David Webb Peoples,FALSE,bafta-bosp.csv
1993,Groundhog Day,Harold Ramis and Danny Rubin,TRUE,bafta-bosp.csv
1993,In the Line of Fire,Jeff Maguire,FALSE,bafta-bosp.csv
1993,The Piano,Jane Campion,FALSE,bafta-bosp.csv
1993,Sleepless in Seattle,"Jeff Arch, Nora Ephron and David S. Ward",FALSE,bafta-bosp.csv
1994,Pulp Fiction,Quentin Tarantino and Roger Avary,TRUE,bafta-bosp.csv
1994,"The Adventures of Priscilla, Queen of the Desert",Stephan Elliott,FALSE,bafta-bosp.csv
1994,Four Weddings and a Funeral,Richard Curtis,FALSE,bafta-bosp.csv
1994,Philadelphia,Ron Nyswaner,FALSE,bafta-bosp.csv
1995,The Usual Suspects,Christopher McQuarrie,TRUE,bafta-bosp.csv
1995,Bullets over Broadway,Woody Allen and Douglas McGrath,FALSE,bafta-bosp.csv
1995,Muriel's Wedding,P. J. Hogan,FALSE,bafta-bosp.csv
1995,Se7en,Andrew Kevin Walker,FALSE,bafta-bosp.csv
1996,Secrets & Lies,Mike Leigh,TRUE,bafta-bosp.csv
1996,Brassed Off,Mark Herman,FALSE,bafta-bosp.csv
1996,Fargo,Joel Coen and Ethan Coen,FALSE,bafta-bosp.csv
1996,Lone Star,John Sayles,FALSE,bafta-bosp.csv
